证券代码,股票名称,概念名称,概念解析
300860.SZ,锋尚文化,低空经济,"2024年4月18日回复称,公司已在多个项目中运用无人机技术,符合国家大力发展低空经济政策。无锡拈花湾小镇的《禅行3.0》项目中,无人机被用于演出的一部分,不仅能够提供独特的视角和视觉效果,还能够增强观众的沉浸式体验。杭州G20峰会大型水上情景表演交响音乐会《最忆是杭州》中,无人机矩阵的使用为演出增添了现代科技的元素,提升了整体的艺术效果和观赏价值。“春舞大西安”城墙千架无人机光影盛典中,无人机不仅作为表演的主体,还通过精密的编程和控制,形成了各种图案和符号,与西安城墙的历史文化背景相融合,展现了现代科技与传统文化遗产的完美结合。"
600785.SH,新华百货,移动支付,"公司拟与控股股东物美控股共同投资成立美通支付服务(银川)有限公司(暂定名,以下简称“美通支付”),美通支付注册资本为10,000 万元,双方均以现金出资,其中公司出资4,000 万元,物美控股出资6,000 万元。"
002646.SZ,天佑德酒,西部大开发,注册地址是青海省互助县威远镇西大街6号。
001212.SZ,中旗新材,太阳能,"2022年年报显示,公司将开发液晶显示玻璃用石英粉、超纯超细电子电工填料用石英粉以及光伏玻璃用低铁石英砂等新产品。"
600396.SH,华电辽能,氢能源,"2023年3月15日公告显示公司拟与华电科工共同出资建设25MW风电离网制氢一体化项目,项目预计年产绿氢1230吨。"
300745.SZ,欣锐科技,燃料电池,2020年5月21日回复称公司燃料电池产品主要的合作方目前有开发燃料电池产品的整车厂或集成商。
603648.SH,畅联股份,进口博览,公司为中国国际进口博览会综合贸易服务商联盟之一。
002424.SZ,ST百灵,新冠药物,"2022年12月9日回复称《新冠肺炎奥密克戎变异株中成药应用专家共识》刊发,“小儿柴桂退热颗粒”等儿科常用药被推荐用于新冠患儿的治疗。公司拥有的“小儿柴桂退热颗粒”为全国独家规格品种。"
002628.SZ,成都路桥,西部大开发,注册地址是四川省成都市武侯区武科东四路11号。
301155.SZ,海力风电,风能,"2021年11月5日招股书显示公司主营业务为风电设备零部件的研发、生产和销售,主要产品包括风电塔筒、桩基及导管架等,产品涵盖2MW至5MW等市场主流规格产品以及6.45MW、8MW等大功率等级产品。"
301126.SZ,达嘉维康,辅助生殖,"2021年11月15日招股书显示不孕不育方面,嘉辰医院可开展内分泌调理、卵泡监测及促排卵治疗、子宫输卵管造影、输卵管吻合术等诊疗。"
300694.SZ,蠡湖股份,新能源车,"2020年5月22日回复称公司适应新能源汽车的发展趋势,利用公司成熟的铸造和加工技术,开发和生产燃料电池组件中的部分铝制零部件。"
603035.SH,常熟汽饰,小米,2022年年报显示公司陆续收获了集度、零跑、小米、比亚迪等项目定点。
001338.SZ,永顺泰,国企改革,公司最终控制人为广东省人民政府国有资产监督管理委员会。
002706.SZ,良信股份,充电桩,"2020年半年报显示公司在新能源汽车与充电桩行业,结合国网新国标设计方案要求,重点推出NDZ3环氧树脂密封直流接触器。"
002378.SZ,章源钨业,稀缺资源,"公司主营钨制品的生产与销售,钨是稀有金属,也是重要的战略物资,被广泛应用于国民经济各个领域。"
002374.SZ,中锐股份,区块链,"公司大力推进二维码战略,通过瓶盖+二维码,搭建防伪追溯、积分促销、会员互动、广告发布的移动互联终端,提高终端消费者粘性,增加瓶盖附加值。在做好三井小刀、江小白、椰岛鹿龟的基础上,向其他大型酒水饮品公司辐射。二维码智能瓶盖平台具备存储记录、验证真假的功能,且不该看到信息的人看不到信息,安全有保障,主要应用在溯源、打假、数据分析等方面,2018年拟借“区块链”概念东风,加强与下游酒水饮料市场的合作。"
603618.SH,杭电股份,5G,"公司在最新年报披露:公司将借助国内光通信行业高景气周期及5G投资建设热潮,持续关注在光通信及5G领域的业务布局机会,丰富公司产品线,以充分分享光通信行业高景气周期及5G投资红利。"
002075.SZ,沙钢股份,商业航天,"2024年2月6日沙钢股份宣布,公司拟使用闲置自有资金5000万元,投资合肥锦沙星河股权投资合伙企业(有限合伙)(下称“锦沙星河”)。企查查显示,锦沙星河成立于今年1月2日,出资额为1000万元。沙钢股份透露,锦沙星河的资金将用于投资银河航天单一项目。据银河航天官网,公司是一家卫星互联网解决方案提供商和卫星制造商。据称,公司致力于通信载荷、核心单机、卫星平台的自主研发与低成本量产,在南通投建了卫星智能制造工厂,已实现百颗卫星的量产能力。"
301348.SZ,蓝箭电子,第三代半导体,"2023年7月19日招股书显示公司已通过自主创新在封测全流程实现智能化、自动化生产体系的构建,具备12英寸晶圆全流程封测能力,在功率半导体、芯片级贴片封装、第三代半导体等领域实现了科技成果与产业的深度融合。"
301318.SZ,维海德,远程办公,2022年7月19日招股书显示公司主要从事高清及超高清视频会议摄像机、视频会议终端、会议麦克风等音视频通讯设备的研发、生产、销售和相关技术服务。
301603.SZ,乔锋智能,新型工业化,"招股意向书显示,公司是一家专业从事数控机床研发、生产及销售的高新技术企业。公司深耕机床行业多年,一直致力于研制精度高、可靠性高、效率高、智能化的国产现代化“工业母机”,为智能制造转型升级提供更高品质的数控机床设备。"
002983.SZ,芯瑞达,MiniLED,"公司MiniLED显示技术入选安徽省重大科技专项,目前已进入研发阶段,应用市场包括大尺寸商用显示、高端消费电子产品、车载显示器等诸多领域。"
300842.SZ,帝科股份,中芯,2020年6月24日回复称目前公司和中芯国际子公司尚处于合作测试阶段。
001296.SZ,长江材料,页岩气,2022年8月5日回复称压裂支撑剂用于石油、天然气和页岩气开采。
002548.SZ,金新农,深圳特区,公司注册地址位于深圳市光明新区光明街道光电北路18号金新农大厦。
600305.SH,恒顺醋业,调味品,"2020年年报显示公司作为中国四大名醋之一镇江香醋的代表,在引领中国醋业发展的基础上,已形成:香醋、白醋、料酒、酱油、麻油、酱菜等系列产品。"
300443.SZ,金雷股份,风能,"公司主要从事风电主轴的研发、生产和销售,是国内专业的风电主轴制造商。"
000759.SZ,中百集团,免税,2020年7月24日公告称公司于7月23日向政府相关部门递交了关于支持公司申报免税品经营资质的请示。
002565.SZ,顺灏股份,工业大麻,"顺灏股份全资子公司云南绿新取得加工大麻花叶项目申请批复,并收到工业大麻种植许可证。"
601369.SH,陕鼓动力,碳交易,"2020年12月23日回复称公司一直致力于节能减排的相关产业布局,如:利用焦炉副产尾气及石灰窑尾气回收的二氧化碳作为原料气,采用国际先进的二氧化碳加氢技术生产高附加值绿色化工产品。"
600731.SH,湖南海利,锂电池,"2021年12月29日公告显示公司收购湖南海利锂电科技股份有限公司,针对未来新能源电池的发展方向进行相关材料的技术和人才储备。"
603689.SH,皖天然气,油气设服,2020年9月2日回复称公司主营业务为天然气长输管线的建设与运营。
603815.SH,交建股份,一带一路,"2019年11月6日,公司互动平台回应称公司积极参与长江经济带的建设,在安徽、浙江等长江经济带省份承建了多个基础设施项目,做出了自己的贡献。公司将继续巩固并提升省内竞争地位和领先优势,加大对省外市场的拓展力度,抓住“一带一路”所带来的机遇,打开海外市场,以公路、市政基础设施施工业务为核心,打造“设计、投资、施工、养护”一体化的产业格局。"
000948.SZ,南天信息,信创,"2021年7月20日回复称公司金融网络安全主要分布在三个层面:一是基于国产硬件、软件的产品的安全适配,开展金融机构在国产操作系统、中间件、数据库的应用系统中的安全业务,在金融机构的应用解决方案中包含安全固件、安全软件及功能;二是南天信息在软件、系统集成方面注重网络安全的研发,拥有丰厚的解决方案开发经验和开发能力;三是南天信息拥有等保测试资质,为超过500家单位提供了等级测评、风险评估、软件测试、安全体系建设(技术和管理)、安全培训、APP安全检测、攻防演练、网络安全重保工作等服务。"
002649.SZ,博彦科技,信创,"2022年半年报显示博彦科技是国内领先的软件与信息技术服务商,业务立足中国、面向全球。公司以技术和创新为引领,为金融、互联网、高科技等垂直行业客户提供覆盖信息技术服务全生命周期的多层次服务体系,主要业务涵盖产品及解决方案、研发工程和IT运营维护。"
601126.SH,四方股份,边缘计算,2022年年报显示公司结合国重项目需求并基于自主电力专用芯片FUXI-EC顺利开发了CSC-271E-G数字电网边缘计算控制装置Ⅱ型产品。
603777.SH,来伊份,ChatGPT,"2023年6月20日公司与腾讯在深圳腾讯滨海大厦签署战略合作协议,合作范围涵盖了休闲食品行业各类数字化应用场景,以及云计算、大数据、A 等技术领域。来伊份与腾讯共同运用 AI 能力,根据不同客群、场景形成不同的营销方案,快速生成适合特定场景的营销文案或图片素材,开展数智人直播,快速生成视频、提升直播效率,在短视频/直播等营销内容生产方面实现降本增效。"
688181.SH,八亿时空,OLED,"自2016年起公司向OLED材料领域进军,进行相关的技术积累与储备,为未来实现产业化奠定基础。"
002470.SZ,金正大,磷化工,"2020年年报显示公司参股瓮安县磷化有限责任公司,其经营范围磷矿资源的开发及形成产品的生产、销售;磷化工系列产品研发生产、销售。"
000523.SZ,红棉股份,啤酒,"2021年半年报显示公司主要有菠萝啤系列产品,其中,“广氏”菠萝味啤酒为国内的首创品牌,是中国第一个果味啤酒品牌,具有深厚岭南文化特色。"
600621.SH,华鑫股份,券商,"公司核心业务为证券业务,公司收入和损益主要来自于华鑫证券。目前公司已形成以证券业务为主，以融资租赁业务、部分持有型物业经营业务及其他业务为辅的经营格局。"
688146.SH,中船特气,固态电池,"2024年4月10日回复称,公司于2010年开始生产三氟甲磺酸系列产品,双(三氟甲磺酰)亚胺锂等产品为公司自主研发生产,公司现建有双(三氟甲磺酰)亚胺锂产能为600吨/年。双(三氟甲磺酰)亚胺锂和三氟甲磺酸锂是锂电电解液重要成分之一,用作电解液添加剂,可以提高电解液的电化学稳定性,改善高低温和循环性能。 公司双(三氟甲磺酰)亚胺锂产品作为锂电池电解液添加剂可用于固态电池。"
688199.SH,久日新材,PCB,"公司生产的907号发光剂,在实际使用过程中可以与ITX或DETX光引发剂配合使用用于有色体系中,主要应用领域为:PCB油墨、胶粘剂、印刷油墨、家居装饰等。"
002481.SZ,双塔食品,合成生物,"2024年5月10日回复称,公司与江南大学有研发技术方面的合作,联合申报了2020年度山东省重点研发计划(重大科技创新工程),项目名称为:植物蛋白制备技术及新型装备研制项目。"
002494.SZ,华斯股份,地摊经济,2019年报显示华斯的中国肃宁国际毛皮交易中心、为毛皮从业者提供熟皮原材料交易平台。可为地摊从业者提供货源。
002420.SZ,毅昌科技,超清视频,"2019年年报显示公司的主要产品包括面向5G+4K超高清的云视频平台,面向5G+4K超高清的智能云视频终端及其他产品等。"
002560.SZ,通达股份,特高压,"公司为国内架空导线龙头企业,主要产品铝绞线、钢绞线等产品在超高压、特高压跨区域输电网络上应用广泛。"
688334.SH,西高院,西部大开发,注册地址是西安市莲湖区西二环北段18号。
600629.SH,华建集团,雄安新区,2020年1月15日回复称公司下属华东院与招商局蛇口工业区控股股份有限公司、中国建筑科学研究院有限公司组成的联合体中标了雄安新区容东片区B1组团设计、项目管理及运营管理服务项目。
600190.SH,ST锦港,中俄贸易,"2020年年报显示“俄罗斯经满洲里至锦州港”的中俄集装箱海铁。联运列车首次抵达锦州港,标志着锦州港成为辽宁省亚欧路桥运输的又一端点。"
002552.SZ,宝鼎科技,一带一路,"2018年,面对错综复杂的国际形势以及我国普遍存在的产能过剩和经济增速下行压力,公司紧紧抓住全球航运业复苏及我国造船企业新承接和手持船舶订单量增长的有利时机,依托“一带一路”战略,积极参与军民融合,努力拓展市场,主营业务持续回升。"
002630.SZ,华西能源,垃圾分类,"2021年7月13日回复称公司在运营的垃圾焚烧发电项目为甘肃张掖和云南昭通两个项目,张掖项目日处理垃圾量600吨、昭通项目日处理垃圾量800吨。"
300904.SZ,威力传动,减速器,"2023年7月21日招股书显示公司主营业务为风电专用减速器研发、生产和销售,主要产品包括风电偏航减速器、风电变桨减速器,致力于为新能源产业提供精密传动解决方案。"
688361.SH,中科飞测,中芯,"2023年4月28日招股书显示公司产品已广泛应用在中芯国际、长江存储、士兰集科、长电科技、华天科技、通富微电等国内主流集成电路制造产线,打破在质量控制设备领域国际设备厂商对国内市场的长期垄断局面。"
600333.SH,长春燃气,东北振兴,"公司是吉林省最大的管道燃气供应企业,也是长春市、延吉市、德惠市及双阳区的主要燃气供应商,已获得包括长春市在内七个城市的管道燃气特许经营权。公司为20多家煤化工产品客户提供相关服务,直接服务区域跨越东北三省。主要产品以天然气、人工煤气、液化石油气、煤化工产品等为主,拥有为城市民用、工商业、钢铁行业、车用等终端客户群服务的完整能源供销体系。"
002903.SZ,宇环数控,工业母机,"2021年半年报显示公司一直专业从事数控磨削设备及智能装备的研发、生产、销售与服务,为客户提供精密磨削与智能制造技术综合解决方案。"
000509.SZ,华塑控股,国企改革,公司的实际控制人为湖北省财政厅。
000698.SZ,沈阳化工,国企改革,最终控股股东为国务院国资委
300653.SZ,正海生物,合成生物,"2023年年报显示,公司一直立足于再生医学领域,在脱细胞技术基础上纵向拓展了三个技术平台,分别为:1)具有天然或仿生支架结构的生物材料;2)具有诱导再生功能的因子技术;3)干细胞技术,实现了再生医学三要素(支架材料、活性因子、种子细胞)的全面研究覆盖,围绕再生医学目标不断扩大技术布局,打造涵盖增材制造、基因工程、合成生物学在内的多学科全方位组织再生研发平台。"
601137.SH,博威合金,铜缆高速连接,"2024年3月22日回复称,公司是国内最具国际竞争力的铜基特殊合金材料的龙头企业之一,公司生产的以高强高导为代表的特殊合金材料在半导体芯片引线框架、先进封装所用的Socket基座、数据交换高速连接器及散热器件等场景有广泛应用;人工智能高速服务器中以光模块为代表的器件所用的屏蔽材料,信号传输的高速连接器等材料是信号交换的核心材料。公司的直接客户是全球知名连接器厂商,并已合作多年。"
301536.SZ,星宸科技,算力,"2023年年报显示,公司自研全套 AI 技术,包含 AI 处理器指令集、AI 处理器 IP 及其编译器、仿真器等全套 AI 处理器工具链。目前公司加速了创新成果的转化,2020 年公司搭载自研 AI 处理器的芯片实现大规模量产,在传统视频安防芯片技术逐渐完善的基础上逐步加入了 AI 技术,搭载了 AI 算力,可实现计算机视觉、智能语音等多种功能。"
002132.SZ,恒星科技,水利建设,"2022年年报显示,公司全资子公司广西自贸区宝畅联达新材料有限公司与河南恒星钢缆股份有限公司产品应用于桥梁、水坝等水利建设。"
600770.SH,综艺股份,独角兽,参股神州龙芯
688159.SH,有方科技,工业互联,"2016年公司实现了无线通信模块产品大批量应用于中国铁塔动环监控系统项目,在工业物联网领域取得了一定的市场份额。"
301282.SZ,金禄电子,PCB,"2022年8月3日招股书显示公司专业从事印制电路板(PCB)的研发、生产和销售,产品广泛应用于汽车电子、通信电子、工业控制、消费电子、医疗器械等领域。"
002139.SZ,拓邦股份,高压快充,"2023年06月09日回复称公司增加经营范围是为了满足公司业务发展需要,看好新能源业务的未来发展。公司在充电枪及充电桩领域具备自主研发的控制技术、电源技术,产品不断迭代与创新,满足交流充电、直流充电、高压快充等多种需求,有良好的客户基础,并不断推进产品在国内外市场的应用。"
603357.SH,设计总院,低空经济,"2024年3月7日回复称,公司设有以民航规划设计研究院为主的团队服务于低空经济发展,民航规划设计研究院主要从事航空规划、工程设计、适航性检测与养护、信息工程、咨询与政策标准为核心的五大领域,具备承担民航运输机场、通用机场选址、可研、设计、施工咨询、竣工试运行(含校飞试飞组织)的全过程综合能力"
301083.SZ,百胜智能,生物识别,2023年6月1日回复称公司掌静脉识别机为安防设备。
688230.SH,芯导科技,氮化镓,"2021年11月12日招股书显示公司拥有“一种氮化镓器件的制备方法及终端结构”发明专利系公司开发第三代半导体材料氮化镓功率器件形成的专利技术,目前氮化镓器件部分产品已完成样品开发。"
002322.SZ,理工能科,虚拟现实,"2022年8月19日回复称子公司江西博微基于完全自主知识产权的三维技术平台D3station已孵化三维设计平台、数字孪生平台等应用,并可实现VR及AR的结合展示,公司紧跟电力行业技术发展及业务变革趋势,目前主要聚焦数字孪生技术在数字工地及电力设备数字孪生领域的应用。"
002296.SZ,辉煌科技,储能,"2021年12月6日回复称公司投资建设的智能微电网及储能技术研发中心项目已启动建设,项目建成后,相关产品主要应用于风光等新能源微电网及相应的储能设备建设。"
002639.SZ,雪人股份,可控核聚变,"2023年8月23日-2023年8月24日投资者关系活动记录表显示,公司已为中科院合肥物质研究所、理化所等多所研究院提供氦气螺杆压缩机,分别应用于全超导托克马克核聚变实验装置、航天试验等大科学工程应用领域。"
603383.SH,顶点软件,数据要素,"2023年8月10日回复称,公司聚焦金融科技,为金融行业提供全面、创新的全域产品与服务。其中:公司为要素交易市场包括产权、区域性股权、环境能源、数据等要素交易市场的机构提供信息化产品与服务。"
300130.SZ,新国都,信创,2019年年报显示子公司浙江中正智能科技有限公司主营网络安全认证、防伪、加密。
688127.SH,蓝特光学,华为,2020年9月2日招股书显示公司产品已被应用于苹果、华为等知名企业的终端产品中。
000915.SZ,华特达因,消毒剂,"2020年02月06日,公司在互动平台表示:公司目前少量生产的消毒剂主要用于捐赠济南地区学校、医院、公安、车站等公益性场所疫情防控所用。"
300101.SZ,振芯科技,天基互联,"2020年4月26日,公司互动该平台回应称目前新橙北斗主要从事北斗+卫星综合应用业务,目前在四川、贵州等地拓展真三维应用项目,建立了基于北斗的企业级卫星互联网综合应用平台,为行业/大众用户提供了包括真三维地理信息、定位导航、赛事保障、高精度定位等的卫星互联网综合应用和服务。"
600538.SH,国发股份,基因测序,"2020年8月24日公告显示公司拟购买其高盛生物股份,其主要从事与DNA检测相关的基因测序业务,其所处上游行业为基因测序设备和试剂的供应商。"
600336.SH,澳柯玛,疫苗冷链,2020年7月28日回复称目前公司生物医疗冷链涵盖了血液、疫苗、药品、低温及超低温、深低温保存箱等系列产品。
000762.SZ,西藏矿业,锂矿,"2023年半年报显示,公司属矿山采掘业,报告期内从事的主营业务是:铬铁矿、锂矿的开采及销售业务。西藏矿业发展股份有限公司山南分公司负责对公司拥有的西藏罗布萨铬铁矿进行开采;控股子公司西藏日喀则扎布耶锂业高科技有限公司负责对公司西藏扎布耶盐湖提锂及硼矿开采。"
002349.SZ,精华制药,流感,"中药产品正柴胡饮颗粒系中国中医研究所科研人员依据明代名医张景岳解表平散代表方“正柴胡饮”,运用现代科学方法研制而成。该药具有解热消炎、镇静、镇痛、抗病毒、抑制流感病毒、防治病毒性肺炎、提高人体免疫力等作用。"
002421.SZ,达实智能,建筑节能,"2022年年报显示公司在节能领域服务的客户群体主要在工厂、商用建筑、城市地铁、医院及数据中心,客户群体覆盖三大“耗能大户”建筑、工业和交通。"
688606.SH,奥泰生物,单抗,"2021年3月5日招股书显示公司在胶体金、乳胶等标记技术,单克隆抗体、多克隆抗体、基因重组抗原、合成抗原等生物原料技术以及免疫层析技术等生物领域的研究方面具备雄厚的技术实力。"
688619.SH,罗普特,边缘计算,"2021年3月11日回复称公司长期从事机器视觉、语义分析、元素感知、边缘计算、数据挖掘、机器深度学习及逻辑推理等核心技术研究,努力实现让机器“看得见、听得懂,会思考、能决策”。"
000981.SZ,山子高科,减速器,2022年5月20日回复称公司下属比利时邦奇公司已成熟的且规模化生产的产品主要为EV减速器。
688228.SH,开普云,数据要素,"2023年02月10日回复称公司着力于通过城市级AIoT数字孪生平台,构建一个真实、完整、多业态的数字孪生世界,以高价值、低成本、全数据要素场景为基础,融合AIoT、物理引擎、工业仿真、人工智能、云计算等技术建立数字孪生应用生态,帮助政府及企业进行新一轮数字化升级,并推动数字孪生成为新型基础设施之一。立足智慧城市、节能低碳、智慧水务等领域,打造出全要素场景、全智能仿真测试平台、实时云渲染平台、开发者工具、API数字孪生场景调用中间件、帮助各行业实现数字化升级。"
002533.SZ,金杯电工,磁悬浮,2020年4月24日回复称子公司金杯电磁线生产的直线电机专用特种电磁线可适用于磁悬浮列车。
688327.SH,云从科技,ChatGPT,"2023年01月30日回复称公司的研究团队高度认同“预训练大模型+下游任务微调”的技术趋势,已经陆续在NLP(NaturalLanguageProcessing,即自然语言处理)、OCR(OpticalCharacterRecognition,即光学字符识别)、机器视觉、语音等多个领域开展预训练大模型的实践,不仅进一步提升了公司各项核心算法的性能效果,同时也大幅提升了公司的算法生产效率,已经在城市治理、金融、智能制造等行业应用中体现价值。"
688456.SH,有研粉材,小金属,"2021年2月26日招股书显示公司专注于先进有色金属粉体材料的设计、研发、生产和销售,主要产品包括铜基金属粉体材料、微电子锡基焊粉材料和3D打印粉体材料等,是国内铜基金属粉体材料和锡基焊粉材料领域的龙头企业。"
688350.SH,富淼科技,半导体,"2024年7月12日回复称,基于公司长远战略目标规划,我们一直在积极拓展新材料领域的产业布局和培育。为此,我司于2023年投资了苏州毅和新材料创业投资合伙企业(有限合伙)(以下简称“新材料基金”),关注与我司主业相关的电子材料、生物化工材料、新能源材料等相关产业链的关键环节。经核实,目前新材料基金已参与投资了多个与半导体行业相关的项目。此外,我司实控人及其关联方亦在半导体行业的高端化学品研究、开发与建设领域积极投入,依托其在日本及国内的研发团队的技术支持,已取得一定进展。如:连芯科技(安徽)有限公司便是一家专注于电子专用材料的研发、制造与销售的公司,目前项目正在建设中。"
301555.SZ,惠柏新材,MicroLED,"2023年10月12日招股书显示,公司已与上游量子点裸材、下游面板厂商和终端品牌厂商建立合作,积极开展 Mini LED 的单色转换以及 Micro LED 量子点色转换技术的合作开发。"
600624.SH,复旦复华,国产软件,2020年7月6日回复称公司所从事的主要业务包括药业、软件和园区三大产业板块。
002514.SZ,宝馨科技,钙钛矿电池,"2022年9月21日公告显示公司基于战略发展的需要,拟与张春福教授、朱卫东副教授、安徽大禹实业集团有限公司就“HJT-钙钛矿叠层、钙钛矿电池”产业化技术开发及产品推广达成合作意向,拟签署《项目投资合作协议》及成立合资公司。"
688660.SH,电气风电,新能源,"2021年4月27招股书显示公司主营业务为风力发电设备设计、研发、制造和销售以及后市场配套服务。公司是国家清洁能源骨干企业,是中国领先的风电整机制造商与服务商,也是中国最大的海上风电整机制造商与服务商。"
002323.SZ,雅博股份,储能,公开资料显示公司投资10.15亿元新上年产2GW异质结光伏组件及储能产品建设项目。
002086.SZ,东方海洋,水产养殖,"2020年半年报显示公司的名贵鱼养殖方面,深化鱼类工厂化循环水养殖基地建设,开展多品种优质鱼类大规模养成,加大新品种名贵鱼的培育、养殖,努力实现多品种名贵鱼养殖国产化、工厂化、生态化,努力打造绿色健康养殖系统。"
688737.SH,中自科技,固态电池,"公司与电子科大吴孟强教授团队开展固态电池及其核心材料的开发,目前处在研发阶段。"
301051.SZ,信濠光电,3D玻璃,公司是国内规模较大的专业玻璃防护屏供应商之一;公司的在研项目包括3D玻璃、可折叠玻璃、微晶玻璃及AG玻璃等.
688007.SH,光峰科技,虚拟现实,"2022年9月2日公告显示公司在AR领域的技术研发取得了重大突破,并成功开发AR核心器件模组,可实现全彩、动态和高分辨率显示效果该袖珍型AR光学模组从底层技术架构上进行突破,在高像素密度层面取得重大进展,成为全球首个PPI破万的AR光学商业化模组。"
600601.SH,方正科技,PCB,产品应用于通信设备和通讯电子领域
002428.SZ,云南锗业,光通信模块,2023年04月18日回复称公司产品主要运用包括红外光电、太阳能电池、光纤通讯、发光二极管、垂直腔面发射激光器(VCSEL)、大功率激光器、光通信用激光器和探测器等领域。
002482.SZ,广田集团,新型城镇化,"公司是一家以建筑装饰设计与施工为主营业务的集团企业,业务涵盖装饰、设计、幕墙、园林、智能、机电、软装、土建、工程金融等领域,是建筑装饰企业中高等级资质最完备的企业之一。"
300081.SZ,恒信东方,空间计算,2023年4月12日公告显示公司研发了诸如:人体动作捕捉、手势识别、服装照片自动化建模、植被程序化生成、古建筑程序化生成、SLAM空间计算、人脸识别、车辆识别、车牌识别、角色语音合成、声纹提取、热区分析、人数统计、眼球跟踪、镜头姿态计算等AI应用的能力模块。
002369.SZ,卓翼科技,C2M,"2020年6月16日回复称公司的自动化水平处于行业领先地位,具有先进的自动化技术和智能化设备,具备C2M新模式的条件,未来将根据客户要求尝试更为先进的模式。"
300080.SZ,易成新能,钒电池,"2022年5月31日回复称全钒液流电池项目由公司参股孙公司开封时代新能源科技有限公司负责筹建,项目目前已完成备案、环评手续。"
603299.SH,苏盐井神,白酒,"2020年12月10日回复称江苏苏盐酒业是公司的全资孙公司,经营的酒类品种有“今世缘-珍缘”系列浓香型白酒、“天赐缘”系列酱香型白酒等。"
300933.SZ,中辰股份,东数西算,"2023年12月20日晚间公告,基于对智能算力服务及相关业务领域发展前景的看好,公司与杭州星临科技有限责任公司签署了《投资协议》,双方同意共同出资设立合资公司,合资公司注册资本为1100万元,其中公司认缴出资770万元,占出资总额的70%。"
688496.SH,清越科技,OLED,2022年12月9日招股书显示公司已形成以PMOLED业务为主、电子纸模组与硅基OLED业务为辅的产品架构与业务格局。
002523.SZ,天桥起重,华为,"2021年9月28日回复称公司与华为在钢铁行业已成功打造了多个5G智能化搬运应用场景项目,如5G远程操控天车、5G棒材无人仓储管理系统等,目前在数字化、AI、大数据方面正在进行产品云平台物联网项目、数字焊接体系等项目的合作。"
600653.SH,申华控股,国企改革,公司的实际控制人为辽宁省人民政府国有资产监督管理委员会。
002452.SZ,长高电新,特斯拉," 公司是国内规模最大的高压隔离开关专业生产企业之一,产品覆盖12~1100kV各电压等级,主要为126kV及以上高压隔离开关。 公司研发的1100kV接地开关,填补了在短时热稳定电流63kA参数下1100kV电压等级接地开关技术的世界空白,并获得国家专利;该产品已成功应用于晋东南-南阳-荆门1000kV特高压交流试验示范线路工程,在全部三个站招标中,公司中标两个站。 公司是仅有的两家实现100万伏输电线路接地开关供货的供应商之一,标志着公司开发的产品达到了电力装备制造的世界级技术水平。"
688258.SH,卓易信息,国产软件,"2019年年报显示公司主要聚焦于安防及环保领域,包括软硬件整体解决方案、定制化软件开发及产品销售和计算资源租赁、运维。"
688698.SH,伟创电气,PLC,"2022年12月1日回公告显示公司已建立具有成本优势的小型PLC产品体系,明年开始会对中大型PLC立项并投入研发,以望带动公司进入大型设备和流程工业领域。"
688168.SH,安博通,AI芯片,"2024年9月2日公告,北京安博通科技股份有限公司与江原创芯科技(厦门)有限公司于近日签订了《战略合作协议书》,双方愿意就算力软硬件和服务、AI算力安全领域进行全方位、多层次、长期稳固的合作。在国产算力芯片领域,安博通(含其关联方)优先向江原科技(含其关联方)采购。合作期内江原科技保证以战略最惠价格优先满足安博通的AI推理芯片等需求。"
688375.SH,国博电子,第三代半导体,"2022年9月26日回复称国博电子积极布局以GaN为代表的第三代化合物半导体领域,基于GaN射频芯片的各类有源相控阵T/R组件产品已在机载、弹载等领域中取得广泛应用。国博电子与上游主要供应商保持了长期稳定的合作关系,保证了业务合作的延续性。"
600360.SH,ST华微,半导体,"2020年半年报显示公司主要从事功率半导体器件的设计研发、芯片制造、封装测试、销售等业务。公司坚持生产、研发、储备相结合的技术开发战略,不断向功率半导体器件的中高端技术及应用领域拓展。"
002293.SZ,罗莱生活,新零售,"2020年5月19日回复称通过内部培养,打造品牌自身的主播矩阵,推动公司整体新零售业务健康发展。"
300397.SZ,天和防务,低空经济,"2024年3月21日回复称,公司行业大数据业务聚焦国防动员潜力数据挖掘、交通战备大数据、低空空管空防数据服务、应急救援辅助决策、城市公共安全管理(十分平安系统)、自然资源保护、环境保护治理等场景的大数据服务解决方案,为客户提供数据获取、数据挖掘、数据共享、数据应用等服务和产品。"
000530.SZ,冰山冷热,空气能热泵,2022年8月13日回复称公司及子公司可提供节能环保型余热回收系列热泵机组。
000037.SZ,深南电A,核能核电,2020年半年报显示公司旗下有江西核电有限公司。
002536.SZ,飞龙股份,汽车热管理,2021年12月3日回复称公司致力于汽车电子系列包括电子水泵、热管理温控模块和氢液冷泵等产品的研发和生产。
002445.SZ,中南文化,影视,"影视文化业务占其总收入的三分之一,作品包括《追凶者也》《我的战争》;2016年12月8日与中国电影签订战略合作协议。"
600650.SH,锦江在线,冷链物流,"2016年8月公告,作价1.47亿收购锦江低温49%股权,标的为一家专业提供冷藏冷冻和配送运输服务的第三方冷链物流运营商。"
688118.SH,普元信息,华为欧拉,"2021年9月22日表示称普元信息作为欧拉社区贡献者,将于华为全联接大会上参与见证欧拉全新发布。"
301459.SZ,丰茂股份,汽车热管理,"2023年12月14日回复称,公司的流体管路产品主要应用在新能源汽车热管理系统领域,传动系统产品可应用于混合动力汽车。"
