,0,1,2,3,4,5,6,7,8,9
84,,<a href='/en/product/equities/NL0011794037-BGEM/ahold-del/1ad/quotes' data-order='AHOLD DEL' data-title-hover='AHOLD DEL'>AHOLD DEL</a>,NL0011794037,1AD,<div class='nowrap pointer' title='Borsa Italiana Global Equity Market' >BGEM</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>30.75</span></div>,<div class='text-right pd_percent'><span class=red>-0.47%</span></div>,"<div class='text-right pointer tooltipDesign' >15:25 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">30.75</div>","<div class=""text-right"">17 Jul 2023</div>"
85,,<a href='/en/product/equities/IE00BF0L3536-XMSM/aib-group-plc/a5g/quotes' data-order='AIB GROUP PLC' data-title-hover='AIB GROUP PLC'>AIB GROUP PLC</a>,IE00BF0L3536,A5G,<div class='nowrap pointer' title='Euronext Dublin' >XMSM</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>4.00</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>1.11%</span></div>,"<div class='text-right pointer tooltipDesign' >16:31 IST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">4.00</div>","<div class=""text-right"">17 Jul 2023</div>"
86,,<a href='/en/product/equities/FR0000031122-XPAR/air-france--klm/af/quotes' data-order='AIR FRANCE -KLM' data-title-hover='AIR FRANCE -KLM'>AIR FRANCE -KLM</a>,FR0000031122,AF,"<div class='nowrap pointer' title='Euronext Paris, Amsterdam' >XPAR, XAMS</div>",<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>1.592</span></div>,<div class='text-right pd_percent'><span class=red>-0.50%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">1.592</div>","<div class=""text-right"">17 Jul 2023</div>"
87,,<a href='/en/product/equities/FR0000031122-MTAH/air-france-klm/2af/quotes' data-order='AIR FRANCE-KLM' data-title-hover='AIR FRANCE-KLM'>AIR FRANCE-KLM</a>,FR0000031122,2AF,<div class='nowrap pointer' title='Trading After Hours' >MTAH</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>1.676</span></div>,<div class='text-right pd_percent'><span class=red>-1.99%</span></div>,"<div class='text-right pointer tooltipDesign' >07 Jul 2023<span class=""tooltiptext"">19:22 CEST</span></div>","<div class=""text-right"">1.606</div>","<div class=""text-right"">17 Jul 2023</div>"
88,,<a href='/en/product/equities/FR0000031122-BGEM/air-france-klm/1af/quotes' data-order='AIR FRANCE-KLM' data-title-hover='AIR FRANCE-KLM'>AIR FRANCE-KLM</a>,FR0000031122,1AF,<div class='nowrap pointer' title='Borsa Italiana Global Equity Market' >BGEM</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>1.606</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>0.12%</span></div>,"<div class='text-right pointer tooltipDesign' >16:20 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">1.606</div>","<div class=""text-right"">17 Jul 2023</div>"
89,,<a href='/en/product/equities/FR0000120073-XPAR/air-liquide/ai/quotes' data-order='AIR LIQUIDE' data-title-hover='AIR LIQUIDE'>AIR LIQUIDE</a>,FR0000120073,AI,<div class='nowrap pointer' title='Euronext Paris' >XPAR</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>159.44</span></div>,<div class='text-right pd_percent'><span class=red>-0.88%</span></div>,"<div class='text-right pointer tooltipDesign' >17:37 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">159.44</div>","<div class=""text-right"">17 Jul 2023</div>"
90,,<a href='/en/product/equities/NL0000235190-BGEM/airbus/1air/quotes' data-order='AIRBUS' data-title-hover='AIRBUS'>AIRBUS</a>,NL0000235190,1AIR,<div class='nowrap pointer' title='Borsa Italiana Global Equity Market' >BGEM</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>132.30</span></div>,<div class='text-right pd_percent'><span class=red>-0.60%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">132.30</div>","<div class=""text-right"">17 Jul 2023</div>"
91,,<a href='/en/product/equities/NL0000235190-XPAR/airbus/air/quotes' data-order='AIRBUS' data-title-hover='AIRBUS SE'>AIRBUS</a>,NL0000235190,AIR,<div class='nowrap pointer' title='Euronext Paris' >XPAR</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>133.52</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>0.38%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">133.52</div>","<div class=""text-right"">17 Jul 2023</div>"
92,,<a href='/en/product/equities/NO0010895568-XOSL/airthings/airx/quotes' data-order='AIRTHINGS' data-title-hover='AIRTHINGS'>AIRTHINGS</a>,NO0010895568,AIRX,<div class='nowrap pointer' title='Oslo Børs' >XOSL</div>,<div class='text-right pd_currency_es'>NOK <span class='pd_last_price_es'>3.06</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>2.17%</span></div>,"<div class='text-right pointer tooltipDesign' >16:25 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">3.06</div>","<div class=""text-right"">17 Jul 2023</div>"
93,,<a href='/en/product/equities/FR0014003V77-ALXP/airwell/alair/quotes' data-order='AIRWELL' data-title-hover='GROUPE AIRWELL'>AIRWELL</a>,FR0014003V77,ALAIR,<div class='nowrap pointer' title='Euronext Growth Paris' >ALXP</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>5.90</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>1.72%</span></div>,"<div class='text-right pointer tooltipDesign' >16:18 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">5.90</div>","<div class=""text-right"">17 Jul 2023</div>"
94,,<a href='/en/product/equities/NL0000018034-XAMS/ajax/ajax/quotes' data-order='AJAX' data-title-hover='AJAX'>AJAX</a>,NL0000018034,AJAX,<div class='nowrap pointer' title='Euronext Amsterdam' >XAMS</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>11.70</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>1.74%</span></div>,"<div class='text-right pointer tooltipDesign' >17:03 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">11.70</div>","<div class=""text-right"">17 Jul 2023</div>"
95,,<a href='/en/product/equities/NO0010215684-XOSL/akastor/akast/quotes' data-order='AKASTOR' data-title-hover='AKASTOR'>AKASTOR</a>,NO0010215684,AKAST,<div class='nowrap pointer' title='Oslo Børs' >XOSL</div>,<div class='text-right pd_currency_es'>NOK <span class='pd_last_price_es'>10.94</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>1.86%</span></div>,"<div class='text-right pointer tooltipDesign' >16:25 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">10.94</div>","<div class=""text-right"">17 Jul 2023</div>"
96,,<a href='/en/product/equities/NO0010234552-XOSL/aker/aker/quotes' data-order='AKER' data-title-hover='AKER'>AKER</a>,NO0010234552,AKER,<div class='nowrap pointer' title='Oslo Børs' >XOSL</div>,<div class='text-right pd_currency_es'>NOK <span class='pd_last_price_es'>611.00</span></div>,<div class='text-right pd_percent'><span class=red>-1.21%</span></div>,"<div class='text-right pointer tooltipDesign' >16:25 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">611.00</div>","<div class=""text-right"">17 Jul 2023</div>"
97,,<a href='/en/product/equities/NO0010886625-XOSL/aker-biomarine/akbm/quotes' data-order='AKER BIOMARINE' data-title-hover='AKER BIOMARINE ASA'>AKER BIOMARINE</a>,NO0010886625,AKBM,<div class='nowrap pointer' title='Oslo Børs' >XOSL</div>,<div class='text-right pd_currency_es'>NOK <span class='pd_last_price_es'>36.00</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>5.88%</span></div>,"<div class='text-right pointer tooltipDesign' >16:25 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">36.00</div>","<div class=""text-right"">17 Jul 2023</div>"
98,,<a href='/en/product/equities/NO0010345853-XOSL/aker-bp/akrbp/quotes' data-order='AKER BP' data-title-hover='AKER BP'>AKER BP</a>,NO0010345853,AKRBP,<div class='nowrap pointer' title='Oslo Børs' >XOSL</div>,<div class='text-right pd_currency_es'>NOK <span class='pd_last_price_es'>265.00</span></div>,<div class='text-right pd_percent'><span class=red>-0.15%</span></div>,"<div class='text-right pointer tooltipDesign' >16:29 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">265.00</div>","<div class=""text-right"">17 Jul 2023</div>"
99,"<button type='button' class='btn btn-link p-0 ml-auto' role='button' data-toggle='popover' data-placement='bottom' data-trigger='focus' data-html='true' data-content='<img class=""tech_logo_large mb-2"" src=""/sites/default/files/tech_leaders/euronext_tech_leaders_full.svg"" width=""160"" height=""48""><br>
Euronext Initiative dedicated to highlighting the visibility and attractiveness of high-growth and leading Tech companies towards international investors<br>
<a href=""https://www.euronext.com/en/raise-capital/euronext-tech-leaders"" target=""_blank"">More info</a>'><img class='lookup_instrument_logo' src='/sites/default/files/tech_leaders/euronext_tech_leaders_small.svg' alt=''></button>",<a href='/en/product/equities/NO0010890304-XOSL/aker-carbon-captur/acc/quotes' data-order='AKER CARBON CAPTUR' data-title-hover='AKER CARBON CAPTURE ASA'>AKER CARBON CAPTUR</a>,NO0010890304,ACC,<div class='nowrap pointer' title='Oslo Børs' >XOSL</div>,<div class='text-right pd_currency_es'>NOK <span class='pd_last_price_es'>14.32</span></div>,<div class='text-right pd_percent'><span class=red>-4.28%</span></div>,"<div class='text-right pointer tooltipDesign' >16:29 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">14.32</div>","<div class=""text-right"">17 Jul 2023</div>"
100,"<button type='button' class='btn btn-link p-0 ml-auto' role='button' data-toggle='popover' data-placement='bottom' data-trigger='focus' data-html='true' data-content='<img class=""tech_logo_large mb-2"" src=""/sites/default/files/tech_leaders/euronext_tech_leaders_full.svg"" width=""160"" height=""48""><br>
Euronext Initiative dedicated to highlighting the visibility and attractiveness of high-growth and leading Tech companies towards international investors<br>
<a href=""https://www.euronext.com/en/raise-capital/euronext-tech-leaders"" target=""_blank"">More info</a>'><img class='lookup_instrument_logo' src='/sites/default/files/tech_leaders/euronext_tech_leaders_small.svg' alt=''></button>",<a href='/en/product/equities/NO0010921232-XOSL/aker-horizons/akh/quotes' data-order='AKER HORIZONS' data-title-hover='AKER HORIZONS ASA'>AKER HORIZONS</a>,NO0010921232,AKH,<div class='nowrap pointer' title='Oslo Børs' >XOSL</div>,<div class='text-right pd_currency_es'>NOK <span class='pd_last_price_es'>5.625</span></div>,<div class='text-right pd_percent'><span class=red>-7.48%</span></div>,"<div class='text-right pointer tooltipDesign' >16:27 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">5.625</div>","<div class=""text-right"">17 Jul 2023</div>"
101,,<a href='/en/product/equities/NO0010716582-XOSL/aker-solutions/akso/quotes' data-order='AKER SOLUTIONS' data-title-hover='AKER SOLUTIONS'>AKER SOLUTIONS</a>,NO0010716582,AKSO,<div class='nowrap pointer' title='Oslo Børs' >XOSL</div>,<div class='text-right pd_currency_es'>NOK <span class='pd_last_price_es'>44.02</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>0.41%</span></div>,"<div class='text-right pointer tooltipDesign' >16:25 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">44.02</div>","<div class=""text-right"">17 Jul 2023</div>"
102,,<a href='/en/product/equities/SE0015193412-MERK/akobo-minerals/akobo/quotes' data-order='AKOBO MINERALS' data-title-hover='AKOBO MINERALS AB (PUB)'>AKOBO MINERALS</a>,SE0015193412,AKOBO,<div class='nowrap pointer' title='Euronext Growth Oslo' >MERK</div>,<div class='text-right pd_currency_es'>NOK <span class='pd_last_price_es'>6.04</span></div>,<div class='text-right pd_percent'><span class=red>-2.58%</span></div>,"<div class='text-right pointer tooltipDesign' >14:49 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">6.04</div>","<div class=""text-right"">17 Jul 2023</div>"
103,,<a href='/en/product/equities/NO0003097503-XOSL/akva-group/akva/quotes' data-order='AKVA GROUP' data-title-hover='AKVA GROUP'>AKVA GROUP</a>,NO0003097503,AKVA,<div class='nowrap pointer' title='Oslo Børs' >XOSL</div>,<div class='text-right pd_currency_es'>NOK <span class='pd_last_price_es'>63.80</span></div>,<div class='text-right pd_percent'><span class=red>-1.85%</span></div>,"<div class='text-right pointer tooltipDesign' >10:11 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">63.80</div>","<div class=""text-right"">17 Jul 2023</div>"
104,,<a href='/en/product/equities/FR0000053027-XPAR/akwel/akw/quotes' data-order='AKWEL' data-title-hover='AKWEL'>AKWEL</a>,FR0000053027,AKW,<div class='nowrap pointer' title='Euronext Paris' >XPAR</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>13.88</span></div>,<div class='text-right pd_percent'><span class=red>-0.14%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">13.88</div>","<div class=""text-right"">17 Jul 2023</div>"
105,,<a href='/en/product/equities/NL0013267909-XAMS/akzo-nobel/akza/quotes' data-order='AKZO NOBEL' data-title-hover='AKZO NOBEL'>AKZO NOBEL</a>,NL0013267909,AKZA,<div class='nowrap pointer' title='Euronext Amsterdam' >XAMS</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>73.10</span></div>,<div class='text-right pd_percent'><span class=red>-0.25%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">73.10</div>","<div class=""text-right"">17 Jul 2023</div>"
106,,<a href='/en/product/equities/IT0005446700-EXGM/ala/ala/quotes' data-order='ALA' data-title-hover='ALA'>ALA</a>,IT0005446700,ALA,<div class='nowrap pointer' title='Euronext Growth Milan' >EXGM</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>13.80</span></div>,<div class='text-right pd_percent'><span class=red>-0.72%</span></div>,"<div class='text-right pointer tooltipDesign' >17:03 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">13.80</div>","<div class=""text-right"">17 Jul 2023</div>"
107,,<a href='/en/product/equities/FR0000062465-XPAR/alan-allman/aaa/quotes' data-order='ALAN ALLMAN' data-title-hover='ALAN ALLMAN ASSOCIATES'>ALAN ALLMAN</a>,FR0000062465,AAA,<div class='nowrap pointer' title='Euronext Paris' >XPAR</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>11.65</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>0.43%</span></div>,"<div class='text-right pointer tooltipDesign' >10:24 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">11.65</div>","<div class=""text-right"">17 Jul 2023</div>"
108,,<a href='/en/product/equities/FR0014000JX7-ALXP/alchimie/alchi/quotes' data-order='ALCHIMIE' data-title-hover='ALCHIMIE SA'>ALCHIMIE</a>,FR0014000JX7,ALCHI,<div class='nowrap pointer' title='Euronext Growth Paris' >ALXP</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>2.03</span></div>,<div class='text-right pd_percent'>-</div>,"<div class='text-right pointer tooltipDesign' >17:13 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">2.03</div>","<div class=""text-right"">17 Jul 2023</div>"
109,,<a href='/en/product/equities/FR0013258662-XPAR/ald/ald/quotes' data-order='ALD' data-title-hover='ALD'>ALD</a>,FR0013258662,ALD,<div class='nowrap pointer' title='Euronext Paris' >XPAR</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>9.53</span></div>,<div class='text-right pd_percent'><span class=red>-1.80%</span></div>,"<div class='text-right pointer tooltipDesign' >17:36 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">9.53</div>","<div class=""text-right"">17 Jul 2023</div>"
110,,<a href='/en/product/equities/GB00BJ9M4V82-XMLI/aleph-finance/mlale/quotes' data-order='ALEPH FINANCE' data-title-hover='ALEPH FINANCE GROUP PLC'>ALEPH FINANCE</a>,GB00BJ9M4V82,MLALE,<div class='nowrap pointer' title='Euronext Access Paris' >XMLI</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>2.88</span></div>,<div class='text-right pd_percent'>-</div>,"<div class='text-right pointer tooltipDesign' >13:10 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">2.88</div>","<div class=""text-right"">17 Jul 2023</div>"
111,"<button type='button' class='btn btn-link p-0 ml-auto' role='button' data-toggle='popover' data-placement='bottom' data-trigger='focus' data-html='true' data-content='<img class=""tech_logo_large mb-2"" src=""/sites/default/files/tech_leaders/euronext_tech_leaders_full.svg"" width=""160"" height=""48""><br>
Euronext Initiative dedicated to highlighting the visibility and attractiveness of high-growth and leading Tech companies towards international investors<br>
<a href=""https://www.euronext.com/en/raise-capital/euronext-tech-leaders"" target=""_blank"">More info</a>'><img class='lookup_instrument_logo' src='/sites/default/files/tech_leaders/euronext_tech_leaders_small.svg' alt=''></button>",<a href='/en/product/equities/IT0004720733-MTAA/alerion/arn/quotes' data-order='ALERION' data-title-hover='ALERION'>ALERION</a>,IT0004720733,ARN,<div class='nowrap pointer' title='Euronext Milan' >MTAA</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>28.90</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>1.94%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">28.90</div>","<div class=""text-right"">17 Jul 2023</div>"
112,"<button type='button' class='btn btn-link p-0 ml-auto' role='button' data-toggle='popover' data-placement='bottom' data-trigger='focus' data-html='true' data-content='<img class=""tech_logo_large mb-2"" src=""/sites/default/files/tech_leaders/euronext_tech_leaders_full.svg"" width=""160"" height=""48""><br>
Euronext Initiative dedicated to highlighting the visibility and attractiveness of high-growth and leading Tech companies towards international investors<br>
<a href=""https://www.euronext.com/en/raise-capital/euronext-tech-leaders"" target=""_blank"">More info</a>'><img class='lookup_instrument_logo' src='/sites/default/files/tech_leaders/euronext_tech_leaders_small.svg' alt=''></button>",<a href='/en/product/equities/NL0012817175-XAMS/alfen/alfen/quotes' data-order='ALFEN' data-title-hover='ALFEN'>ALFEN</a>,NL0012817175,ALFEN,<div class='nowrap pointer' title='Euronext Amsterdam' >XAMS</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>56.54</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>0.78%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">56.54</div>","<div class=""text-right"">17 Jul 2023</div>"
113,,<a href='/en/product/equities/IT0005244030-EXGM/alfio-bardolla/abtg/quotes' data-order='ALFIO BARDOLLA' data-title-hover='ALFIO BARDOLLA'>ALFIO BARDOLLA</a>,IT0005244030,ABTG,<div class='nowrap pointer' title='Euronext Growth Milan' >EXGM</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>2.23</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>1.83%</span></div>,"<div class='text-right pointer tooltipDesign' >17:00 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">2.23</div>","<div class=""text-right"">17 Jul 2023</div>"
114,,<a href='/en/product/equities/IT0005466039-EXGM/alfonsino/alfo/quotes' data-order='ALFONSINO' data-title-hover='ALFONSINO'>ALFONSINO</a>,IT0005466039,ALFO,<div class='nowrap pointer' title='Euronext Growth Milan' >EXGM</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>0.768</span></div>,<div class='text-right pd_percent'><span class=red>-3.76%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">0.768</div>","<div class=""text-right"">17 Jul 2023</div>"
115,,<a href='/en/product/equities/IT0004359037-MTAA/algowatt/alw/quotes' data-order='ALGOWATT' data-title-hover='ALGOWATT'>ALGOWATT</a>,IT0004359037,ALW,<div class='nowrap pointer' title='Euronext Milan' >MTAA</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>0.495</span></div>,<div class='text-right pd_percent'><span class=red>-2.17%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">0.495</div>","<div class=""text-right"">17 Jul 2023</div>"
116,,<a href='/en/product/equities/FR001400GZ72-ALXP/algreen/algre/quotes' data-order='ALGREEN' data-title-hover='ALGREEN'>ALGREEN</a>,FR001400GZ72,ALGRE,<div class='nowrap pointer' title='Euronext Growth Paris' >ALXP</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>0.0002</span></div>,<div class='text-right pd_percent'>-</div>,"<div class='text-right pointer tooltipDesign' >17:14 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">0.0002</div>","<div class=""text-right"">17 Jul 2023</div>"
117,,<a href='/en/product/equities/BE0941243520-VPXB/aliaxis/quotes' data-order='ALIAXIS' data-title-hover='ALIAXIS'>ALIAXIS</a>,BE0941243520,,<div class='nowrap pointer' title='Euronext Expert Market' >VPXB</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>33.80</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>1.81%</span></div>,"<div class='text-right pointer tooltipDesign' >11 Jul 2023<span class=""tooltiptext"">11:30 CEST</span></div>","<div class=""text-right"">33.80</div>","<div class=""text-right"">17 Jul 2023</div>"
118,,<a href='/en/product/equities/IT0005314635-MTAA/alkemy/alk/quotes' data-order='ALKEMY' data-title-hover='ALKEMY'>ALKEMY</a>,IT0005314635,ALK,<div class='nowrap pointer' title='Euronext Milan' >MTAA</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>11.02</span></div>,<div class='text-right pd_percent'><span class=red>-1.96%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">11.02</div>","<div class=""text-right"">17 Jul 2023</div>"
119,,<a href='/en/product/equities/IT0005461303-EXGM/allcore/core/quotes' data-order='ALLCORE' data-title-hover='ALLCORE'>ALLCORE</a>,IT0005461303,CORE,<div class='nowrap pointer' title='Euronext Growth Milan' >EXGM</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>2.18</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>0.93%</span></div>,"<div class='text-right pointer tooltipDesign' >16:19 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">2.18</div>","<div class=""text-right"">17 Jul 2023</div>"
120,"<button type='button' class='btn btn-link p-0 ml-auto' role='button' data-toggle='popover' data-placement='bottom' data-trigger='focus' data-html='true' data-content='<img class=""tech_logo_large mb-2"" src=""/sites/default/files/tech_leaders/euronext_tech_leaders_full.svg"" width=""160"" height=""48""><br>
Euronext Initiative dedicated to highlighting the visibility and attractiveness of high-growth and leading Tech companies towards international investors<br>
<a href=""https://www.euronext.com/en/raise-capital/euronext-tech-leaders"" target=""_blank"">More info</a>'><img class='lookup_instrument_logo' src='/sites/default/files/tech_leaders/euronext_tech_leaders_small.svg' alt=''></button>",<a href='/en/product/equities/GB00BNTJ3546-XAMS/allfunds-group/allfg/quotes' data-order='ALLFUNDS GROUP' data-title-hover='ALLFUNDS GROUP PLC'>ALLFUNDS GROUP</a>,GB00BNTJ3546,ALLFG,<div class='nowrap pointer' title='Euronext Amsterdam' >XAMS</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>5.38</span></div>,<div class='text-right pd_percent'><span class=red>-2.71%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">5.38</div>","<div class=""text-right"">17 Jul 2023</div>"
121,,<a href='/en/product/equities/DE0008404005-MTAH/allianz/2alv/quotes' data-order='ALLIANZ' data-title-hover='ALLIANZ'>ALLIANZ</a>,DE0008404005,2ALV,<div class='nowrap pointer' title='Trading After Hours' >MTAH</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>204.20</span></div>,<div class='text-right pd_percent'><span class=red>-2.83%</span></div>,"<div class='text-right pointer tooltipDesign' >18 May 2023<span class=""tooltiptext"">18:00 CEST</span></div>","<div class=""text-right"">210.30</div>","<div class=""text-right"">17 Jul 2023</div>"
122,,<a href='/en/product/equities/DE0008404005-BGEM/allianz/1alv/quotes' data-order='ALLIANZ' data-title-hover='ALLIANZ'>ALLIANZ</a>,DE0008404005,1ALV,<div class='nowrap pointer' title='Borsa Italiana Global Equity Market' >BGEM</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>210.30</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>0.17%</span></div>,"<div class='text-right pointer tooltipDesign' >17:08 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">210.30</div>","<div class=""text-right"">17 Jul 2023</div>"
123,,<a href='/en/product/equities/IT0005434615-EXGM/almawave/aiw/quotes' data-order='ALMAWAVE' data-title-hover='ALMAWAVE'>ALMAWAVE</a>,IT0005434615,AIW,<div class='nowrap pointer' title='Euronext Growth Milan' >EXGM</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>4.61</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>0.22%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">4.61</div>","<div class=""text-right"">17 Jul 2023</div>"
124,,<a href='/en/product/equities/BE0146350740-VPXB/alme-invest/quotes' data-order='ALME INVEST' data-title-hover='ALME INVEST'>ALME INVEST</a>,BE0146350740,,<div class='nowrap pointer' title='Euronext Expert Market' >VPXB</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>89.91</span></div>,<div class='text-right pd_percent'><span class=red>-90.54%</span></div>,"<div class='text-right pointer tooltipDesign' >11 May 2021<span class=""tooltiptext"">11:30 CEST</span></div>","<div class=""text-right"">90.00</div>","<div class=""text-right"">17 Jul 2023</div>"
125,,<a href='/en/product/equities/NL0010696704-XAMS/almunda-pro-nv/amund/quotes' data-order='ALMUNDA PRO NV' data-title-hover='Almunda Professional N.V.'>ALMUNDA PRO NV</a>,NL0010696704,AMUND,<div class='nowrap pointer' title='Euronext Amsterdam' >XAMS</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>1.30</span></div>,<div class='text-right pd_percent'><span class=red>-1.52%</span></div>,"<div class='text-right pointer tooltipDesign' >10:08 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">1.30</div>","<div class=""text-right"">17 Jul 2023</div>"
